isocountry,lgbED1,transED1,cntryID,region,lgbED,transED,diff
AT,0.695,0.634,18,Austria,69.5,63.4,6.1
BE,0.799,0.729,2,Belgium,79.9,72.9,7
BG,0.439,0.404,29,Bulgaria,43.9,40.4,3.5
CY,0.8,0.78,19,Cyprus,80,78,2
CZ,0.522,0.46,20,Czech Republic,52.2,46,6.2
DE,0.839,0.761,8,Germany,83.9,76.1,7.8
DK,0.833,0.789,7,Denmark,83.3,78.9,4.4
EE,0.696,0.683,21,Estonia,69.6,68.3,1.3
ES,0.87,0.856,12,Spain,87,85.6,1.4
FI,0.864,0.844,16,Finland,86.4,84.4,2
FR,0.734,0.678,1,France,73.4,67.8,5.6
GB,0.801,0.767,9,UK,80.1,76.7,3.4
GR,0.67,0.644,11,Greece,67,64.4,2.6
HR,0.64,0.643,32,Croatia,64,64.3,-0.3
HU,0.478,0.432,22,Hungary,47.8,43.2,4.6
IE,0.83,0.771,8,Ireland,83,77.1,5.9
IT,0.608,0.528,5,Italy,60.8,52.8,8
LT,0.618,0.598,24,Lithuania,61.8,59.8,2
LU,0.784,0.694,6,Luxembourg,78.4,69.4,9
LV,0.566,0.505,23,Latvia,56.6,50.5,6.1
MT,0.784,0.775,25,Malta,78.4,77.5,0.9
NL,0.922,0.882,3,Netherlands,92.2,88.2,4
PL,0.686,0.671,26,Poland,68.6,67.1,1.5
PT,0.748,0.731,13,Portugal,74.8,73.1,1.7
RO,0.508,0.467,30,Romania,50.8,46.7,4.1
SE,0.95,0.928,17,Sweden,95,92.8,2.2
SI,0.729,0.67,28,Slovenia,72.9,67,5.9
SK,0.432,0.395,27,Slovakia,43.2,39.5,3.7